playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480196,2022,Jacob Bryson,BUF,D,other,48,780.0,18.0,4.78,0.68,0.44,0.36,0.41,0.37,0.42,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,5.0,3.0,7.0,0.0,3.0,1.0,14.0,0.0,0.0,2017.0,0.0,0.0,0.0,2.0,5.16,2.64,2.62,2.64,2.62,4.0,3.0,2.0,9.0,3.0,0.0,0.0,3.0,0.0,4.0,0.17,0.0,2.47,0.0,0.0,3.0,9.0,7.0,7.0,0.08,0.0,0.0,2.72,2.72,2.7,8.52,1.22,1.19,1.22,1.19,9.0,3.0,4.0,16.0,2.0,1.0,1.0,7.0,4.0,1.0,0.27,0.53,0.42,0.0,1.0,1.0,16.0,12.0,12.0,0.15,0.15,0.15,1.23,1.23,1.2,7.74,9.79,41.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
8480196,2022,Jacob Bryson,BUF,D,all,48,43207.0,1094.0,7.35,0.44,0.5,0.47,0.53,0.46,0.52,235.0,23.92,0.79,1.17,6.51,0.73,13.83,10.97,0.78,0.78,0.78,3.0,4.0,24.0,10.0,14.0,48.0,8.0,1.0,2.0,0.0,6.0,2.0,11.0,12.0,23.0,33.0,4.0,8.0,0.0,24.0,12.0,7.0,34.0,0.0,0.0,0.79,0.0,0.0,1.0,0.0,0.0,48.43,34.0,34.23,6.0,0.23,0.27,0.03,0.99,0.99,0.98,1094.0,110.0,132.0,177.0,675.0,162.0,142.0,114.0,676.0,0.0,0.0,131032.0,8.0,6.0,3.0,56.0,338.9,29.39,28.73,29.1,28.45,326.0,137.0,157.0,620.0,22.0,25.0,2.0,364.0,71.0,28.0,11.91,8.66,8.82,7.0,9.0,6.0,616.44,463.0,457.41,4.45,4.83,4.83,29.02,28.76,28.45,394.12,37.17,36.04,37.59,36.44,409.0,133.0,145.0,687.0,50.0,39.0,8.0,395.0,114.0,33.0,11.83,13.78,11.57,17.0,19.0,14.0,694.67,542.0,547.07,5.77,7.99,7.99,34.95,35.3,34.62,129.01,130.93,2199.0,1915.0,0.0,0.0,0.0,0.0,0.0,0.0
8480196,2022,Jacob Bryson,BUF,D,5on5,48,39069.0,967.0,7.35,0.47,0.5,0.51,0.53,0.49,0.52,225.0,23.92,0.79,1.17,6.51,0.73,13.83,10.97,0.78,0.78,0.78,2.0,3.0,24.0,10.0,13.0,47.0,6.0,1.0,2.0,0.0,6.0,2.0,11.0,12.0,23.0,33.0,4.0,8.0,0.0,24.0,11.0,6.0,34.0,0.0,0.0,0.79,0.0,0.0,1.0,0.0,0.0,47.43,34.0,34.23,5.0,0.23,0.27,0.03,0.99,0.99,0.98,967.0,101.0,102.0,166.0,598.0,158.0,132.0,97.0,580.0,0.0,0.0,102727.0,8.0,6.0,3.0,44.0,323.9,25.52,24.87,25.23,24.6,312.0,131.0,152.0,595.0,19.0,25.0,2.0,354.0,67.0,22.0,11.46,8.18,5.88,7.0,9.0,3.0,591.44,443.0,437.41,4.23,4.83,4.83,24.92,24.67,24.38,335.22,28.99,28.09,29.41,28.5,347.0,113.0,121.0,581.0,38.0,31.0,5.0,340.0,95.0,25.0,10.41,11.53,7.06,15.0,16.0,7.0,588.67,460.0,465.07,4.51,5.98,5.98,27.51,27.86,27.31,79.77,79.19,1650.0,1441.0,3.57,0.35,70.0,5.0,52.0,5.0
8480196,2022,Jacob Bryson,BUF,D,4on5,48,3069.0,87.0,6.43,0.15,0.21,0.13,0.21,0.15,0.2,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,2.0,25.0,7.0,53.0,3.0,7.0,13.0,64.0,0.0,0.0,5663.0,0.0,0.0,0.0,0.0,9.16,1.17,1.17,1.17,1.17,10.0,2.0,1.0,13.0,0.0,0.0,0.0,6.0,4.0,2.0,0.21,0.48,0.47,0.0,0.0,0.0,13.0,12.0,12.0,0.13,0.0,0.0,1.3,1.3,1.3,48.97,6.85,6.66,6.85,6.66,51.0,17.0,20.0,88.0,10.0,7.0,2.0,46.0,15.0,7.0,1.05,1.72,4.08,2.0,2.0,6.0,88.0,68.0,68.0,1.1,1.86,1.86,6.09,6.09,5.99,3.65,14.01,45.0,171.0,0.73,0.0,7.0,0.0,4.0,0.0
8480196,2022,Jacob Bryson,BUF,D,5on4,48,289.0,22.0,1.73,0.39,0.79,0.6,0.81,0.33,0.77,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,1.0,17.0,1.0,0.0,3.0,18.0,0.0,0.0,6823.0,0.0,0.0,0.0,5.0,0.68,0.07,0.07,0.07,0.07,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.02,0.0,0.0,0.08,0.08,0.08,1.42,0.11,0.11,0.11,0.11,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.01,0.0,0.0,0.12,0.12,0.12,10.59,2.79,154.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,other,46,549.0,12.0,3.45,0.64,0.47,0.28,0.4,0.26,0.4,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,6.0,0.0,3.0,3.0,6.0,0.0,0.0,2034.0,0.0,0.0,0.0,2.0,3.29,1.97,1.87,1.97,1.87,4.0,1.0,2.0,7.0,2.0,1.0,0.0,1.0,0.0,4.0,0.05,0.0,1.92,0.0,0.0,2.0,7.0,5.0,5.0,0.04,0.27,0.27,1.74,1.74,1.65,9.58,1.12,1.05,1.12,1.05,9.0,5.0,4.0,18.0,3.0,0.0,0.0,6.0,8.0,0.0,0.21,0.91,0.0,2.0,1.0,0.0,18.0,14.0,14.0,0.24,0.0,0.0,1.36,1.36,1.28,7.96,9.06,41.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,all,46,40139.0,1004.0,5.7,0.38,0.51,0.41,0.54,0.4,0.52,230.0,22.33,0.91,1.11,6.28,0.7,12.02,9.97,0.9,0.91,0.89,4.0,5.0,24.0,7.0,15.0,46.0,10.0,1.0,0.0,0.0,4.0,0.0,14.0,12.0,23.0,30.0,17.0,34.0,0.0,74.0,15.0,9.0,29.0,2.0,0.0,0.63,0.28,0.0,0.0,1.0,0.0,45.7,31.0,30.92,7.0,0.22,0.0,0.02,1.12,1.11,1.09,1004.0,71.0,179.0,154.0,600.0,148.0,128.0,121.0,607.0,0.0,0.0,126932.0,34.0,16.0,8.0,63.0,276.4,27.52,26.05,27.29,25.86,263.0,110.0,124.0,497.0,25.0,33.0,1.0,271.0,74.0,28.0,9.12,9.7,8.7,9.0,11.0,5.0,496.74,373.0,371.2,3.71,7.12,7.12,24.11,24.02,23.62,411.32,44.76,43.32,44.75,43.33,414.0,150.0,150.0,714.0,49.0,40.0,10.0,387.0,129.0,48.0,11.16,15.82,17.77,12.0,14.0,23.0,715.8,564.0,565.52,6.75,9.24,8.95,42.56,42.6,41.61,129.2,124.88,2175.0,1859.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on5,46,34076.0,858.0,5.7,0.45,0.49,0.47,0.53,0.46,0.51,238.0,21.57,0.74,1.06,6.2,0.68,11.84,9.47,0.73,0.73,0.72,2.0,5.0,23.0,7.0,15.0,45.0,7.0,0.0,0.0,0.0,4.0,0.0,14.0,12.0,23.0,30.0,15.0,30.0,0.0,61.0,12.0,8.0,29.0,1.0,0.0,0.63,0.11,0.0,0.0,0.0,0.0,44.7,30.0,29.92,6.0,0.21,0.0,0.02,0.94,0.93,0.91,858.0,69.0,109.0,143.0,537.0,143.0,107.0,103.0,505.0,0.0,0.0,102565.0,30.0,12.0,6.0,49.0,254.51,23.04,21.75,22.81,21.56,237.0,107.0,119.0,463.0,20.0,29.0,0.0,258.0,64.0,22.0,8.68,8.24,6.12,9.0,9.0,2.0,462.74,344.0,342.2,3.43,6.03,6.03,20.44,20.35,20.03,300.45,27.66,26.76,27.65,26.77,304.0,107.0,121.0,532.0,25.0,30.0,7.0,296.0,89.0,26.0,8.85,11.2,7.61,9.0,9.0,7.0,533.8,411.0,412.52,4.14,6.85,6.56,25.24,25.28,24.81,79.54,83.15,1671.0,1486.0,3.78,0.18,74.0,7.0,59.0,5.0
8480950,2022,Ilya Lyubushkin,BUF,D,4on5,46,5497.0,131.0,4.52,0.13,0.17,0.14,0.18,0.14,0.2,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,1.0,64.0,11.0,55.0,5.0,18.0,15.0,93.0,0.0,0.0,5620.0,4.0,0.0,0.0,0.0,17.16,2.28,2.19,2.28,2.19,21.0,1.0,3.0,25.0,2.0,3.0,1.0,11.0,9.0,2.0,0.32,1.28,0.67,0.0,1.0,1.0,25.0,22.0,22.0,0.22,0.82,0.82,1.67,1.67,1.67,99.18,15.63,15.2,15.63,15.2,99.0,37.0,24.0,160.0,21.0,10.0,3.0,85.0,29.0,22.0,2.1,3.36,10.16,1.0,4.0,16.0,160.0,136.0,136.0,2.33,2.39,2.39,15.56,15.56,15.17,2.71,12.94,37.0,164.0,0.85,0.0,9.0,1.0,7.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on4,46,17.0,3.0,-1.17,0.0,0.86,0.0,0.87,0.0,0.84,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1428.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.52,46.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
